vehicleType	price	brand	model	modelYear	fuel	codeFipe	referenceMonth	fuelAcronym
3	R$ 232.955,00	VOLVO	VM 270 6x2 2p (diesel) (E5)	2015	Diesel	516144-4	outubro de 2024	D
3	R$ 786.118,00	SCANIA	R-540 A 6x4 2p (diesel)(E5)	2023	Diesel	513289-4	outubro de 2024	D
3	R$ 465.234,00	VOLVO	FH-460 GLOBETROTTER 6x2 2p (diesel) (E5)	2018	Diesel	516155-0	outubro de 2024	D
3	R$ 221.305,00	VOLVO	FH 400 6x2 2p (diesel)	2011	Diesel	516102-9	outubro de 2024	D
3	R$ 248.854,00	MERCEDES-BENZ	Atego 1719 2p (diesel) (E5)	2016	Diesel	509281-7	outubro de 2024	D
3	R$ 247.541,00	MERCEDES-BENZ	Atron 1719 2p (diesel)(E5)	2016	Diesel	509303-1	outubro de 2024	D
3	R$ 237.273,00	VOLKSWAGEN	17-190 E Worker 2p (diesel)(E5)	2018	Diesel	515148-1	outubro de 2024	D
3	R$ 176.521,00	VOLKSWAGEN	23-230 Worker 3-Eixos 2p (diesel)(E5)	2018	Diesel	515157-0	outubro de 2024	D
3	R$ 161.521,00	VOLKSWAGEN	23-230 Worker 3-Eixos 2p (diesel)(E5)	2015	Diesel	515157-0	outubro de 2024	D
3	R$ 254.994,00	VOLKSWAGEN	24-280 E Constel. 6x2 2p (diesel)(E5)	2015	Diesel	515141-4	outubro de 2024	D
3	R$ 212.021,00	VOLKSWAGEN	13-160 E Delivery 6x2 2p (diesel)(E5)	2018	Diesel	515162-7	outubro de 2024	D
3	R$ 329.392,00	VOLKSWAGEN	17-190 E Constellation 2p (diesel)(E5)	2021	Diesel	515135-0	outubro de 2024	D
3	R$ 495.223,00	DAF	CF FTT 480 6X4 Sleeper Cab (Die)(E5)	2021	Diesel	530030-4	outubro de 2024	D
3	R$ 481.553,00	MERCEDES-BENZ	Atego 3330 B 8x4 2p (diesel)(E5)	2022	Diesel	509332-5	outubro de 2024	D
